"code","description","class","row"
"POL9","Unemployment benefit (ratio to after tax wage)","exos",374
"POL10","Family allowance (ratio to after tax wage)","exos",375
"POL11","Other personal benefits (ratio to after tax wage)","exos",376
"POL12","Transfers - pub. sector to for. sector (ratio to GDP)","exos",377
"POL14M","Transfers - for. to priv. - migrants (ratio to GDP)","exos",378
"POL1","Rate of tax on labour income","endos",379
"POL1X","Rate of tax on labour income - exogenous comp.","exos",380
"POL2","Rate of tax on companies","exos",381
"POL3","Rate of lump sum tax","exos",382
"POL4","Rate of tax on consumption","exos",383
"POL5","Rate of import duty","exos",384
"POL6","Rate of payroll tax","exos",385
"POL7","Rate of tax on rental services","exos",386
"NTT","Employment ('000)","endos",387
"NTTch","Employment ('000) quarterly change",NA,388
"NTTch4","Employment ('000) 4 quarter to change",NA,389
"NT","Employment, incl. defence force ('000)","endos",390
"URT","Unemployment rate","endos",391
"URTregch","percentage point change",NA,392
"URTch","Unemployment rate change",NA,393
"NUN","Unemployment ('000)","endos",394
"NUNch","Unemployment ('000) change",NA,395
"PARTT","Participation rate","endos",396
"OutLabFte","Full time employment ('000)","endos",397
"OutLabFtech","Full time employment ('000) change",NA,398
"OutLabFtech4","Full time employment ('000) 4 quarter to change",NA,399
"OutLabPte","Part time employment ('000)","endos",400
"OutLabPtech","Part time employment ('000) change",NA,401
"OutLabPtech4","Part time employment ('000) 4 quarter to change",NA,402
"NTS","Labour supply ('000)","endos",403
"NTSch","Labour supply ('000) quarterly change",NA,404
"NTSch4","Labour supply ('000) 4 quarter to change",NA,405
"NWSE","Wage and salary earners ('000)","endos",406
"NDF","Defence employment ('000)","exos",407
"GDPPech","Change in employment","baseind",408
"NSR","Equilibrium private sector employment ('000)","endos",409
"NRPT","Part time employment (ratio to total emp)","endos",410
"NRPTch","Part time employment (ratio to total emp) change",NA,411
"DIFD","Diff. in unemp. rates (benefit recipients - survey)","exos",412
"OutPopCiv","Adult population ('000)","endos",413
"OutPopCivch","Adult population ('000) % change",NA,414
"OutPopCivch_lag","Adult population ('000) % change lag",NA,415
"OutPopTot","Total population ('000)","endos",416
"OutPopTotch","Total population ('000) % change",NA,417
"OutPopTotch4",NA,NA,418
"POPGR","Rate of population growth (aged 15-64)","endos",419
"POP1","Population aged 0 to 4 ('000)","exos",420
"POP2","Population aged 5 to 14 ('000)","exos",421
"POP3","Population aged 15 to 64 ('000)","exos",422
"POP4","Population aged 65 and over ('000)","exos",423
"POPGRch","Rate of population growth (aged 15-64)",NA,424
"POP1ch","Population aged 0 to 4 ('000) change",NA,425
"POP2ch","Population aged 5 to 14 ('000) change",NA,426
