equation,term,estimate,std_error
Pmgs,c1,-0.053694422670907065,0.021597416055697836
Pmgs,c2,-0.03651774523646143,0.02348824261362634
Pmgs,c3,0.7046057465233252,0.1735648635369967
Pmgs,c4,-0.004299512166811022,0.0013661533954803986
Pmgs,c5,0.5495297630015719,0.037058531202549545
Pmgs,c6,0.029511828010859574,0.00972414438287095
Rmort,c1,-0.08260175485571111,0.023631613406010676
Rmort,c2,0.018839480634623634,0.001831877258662734
Rmort,c3,4.7291324760388167e-4,6.108841359915263e-5
Rmort,c4,0.6422003776238158,0.03171409587365949
Rmort,c5,0.2277055745231814,0.032579805019168025
Peq,c1,0.03837306926535876,0.01584331697430168
Peq,c2,0.9557366434721427,0.7897213978596045
Peq,c3,-5.035035267050145,1.8472335626729182
Peq,c4,3.453567690685462,2.2757822632892
Peq,c5,0.2781533645165903,0.08781303247960992
Peq,c6,-0.16362294057351784,0.08584768068993931
Rtwi,c1,-0.4639874434031809,0.15023853607092433
Rtwi,c2,-0.14139044710807466,0.04287478783097165
Rtwi,c3,-0.49043590547307636,0.080853482632566
Rtwi,c4,-5.424109096394268,2.8196503935329047
Rtwi,c5,-0.0736035206947489,0.0799710161613405
Rtwi,c6,0.13453697247769017,0.09586675813328477
Rtwi,c7,-0.47622891356250674,0.8144619650162774
Rusd,c1,-0.003428696618773467,0.0018370520275530252
Rusd,c2,1.012797664786528,0.0434613947918442
Rusd,c3,0.28279382483690735,0.1608802172292602
Whh,c1,0.009713659199836628,0.0012517017511900486
Whh,c2,0.4718476432205445,0.04972740834046653
Whh,c3,0.15307278245770656,0.01448109572483707
Whh,c4,-0.04253584337548476,0.018360172922314292
Ygdw,c1,-0.12249627739958038,0.03356240795676001
Ygdw,c2,-0.060146503888143826,0.014762544339721882
Ygdw,c3,0.0012641799026898402,4.4153906860223995e-4
Ygdw,c4,0.5015448999057669,0.16688952885760247
Lhrs,c1,0.2728199085883026,0.047114981399252305
Lhrs,c2,10.18537779316743,1.0043406670038122
Lhrs,c4,-0.0027199618126257656,1.6716545382319432e-4
Lhrs,c5,1.0318406426804294,0.4778034427994821
Lhrs,c6,-0.8157910296727826,0.30143039218348405
Lhrs,c7,0.04249133782892205,0.28569118189641984
Lhrs,c8,-0.06646490066254453,0.012671707303272974
Lhrs,c9,0.05286889097398659,0.010507301966918106
Phouse,c1,0.19278058485932464,0.39428227095903406
Phouse,c2,-0.2915528688306529,0.08158791728333518
Phouse,c3,0.005121147988094989,4.601071768345779e-4
Phouse,c4,0.02528332952441866,0.9946667190479552
Phouse,c5,1.0426180167638919,0.46625436645621593
Phouse,c6,-1.295149776875123,0.6648498202132148
Phouse,c7,0.2553950420022336,0.11089663815908278
Phouse,c8,0.3295086153697207,0.11459858374824376
Pimin,c1,-0.03851717004134627,0.11332102698194284
Pimin,c2,-0.021053232645805803,0.027728940127391504
Pimin,c3,0.4303225134964638,0.6022607864585607
Pimin,c4,0.09285361433234803,0.020681050119326853
Pimin,c6,0.04951020170054976,0.020066386099583215
Pimin,c7,0.04976500455600457,0.03443285904222221
Pimin,c9,0.052145700607889284,0.033160782996719804
Pimin,c10,0.02700153107352251,0.032046733360660766
Pimin,c11,0.013987698988443905,0.0027671280404815905
Pimin,c12,0.004364744564762694,0.002642413139339111
Pinonmin,c1,-0.013762818679934032,0.013490886495700929
Pinonmin,c2,-0.030382521541765677,0.009602509664428336
Pinonmin,c3,0.1191984010621917,0.10120405618691507
Pinonmin,c6,0.14578419940045464,0.01671984395505551
Pinonmin,c7,0.0395477413647599,0.025723978154281683
Pinonmin,c8,0.06807987705778364,0.017245428210445685
Pinonmin,c9,0.07027068483215036,0.01689781429132407
Pinonmin,c10,0.003154339700038822,0.0024069116498594105
Pinonmin,c11,0.0043797966428083855,0.00231322023172522
Pgov,c1,-0.3961484465554123,0.1257619070965482
Pgov,c2,-0.07768529232653475,0.022843279951412183
Pgov,c3,1.1266192485898345,0.03910924119662164
Pgov,c4,0.15963875982884396,0.04696527536337373
Pgov,c5,-0.3141947446393325,0.07168851755203572
Pidwell,c1,-0.1328337018347152,0.07049084030453351
Pidwell,c2,-0.03365707870648795,0.014714945909759258
Pidwell,c3,0.6757705649097261,0.13971902881352372
Pidwell,c4,0.004436029008898107,8.011656276613652e-4
Pidwell,c5,0.06473504261333811,0.004377124942395227
Pidwell,c6,0.8095684279465615,0.05206427079405005
Pidwell,c7,-0.07492108712841053,0.005464223546147789
Pxsvc,c1,0.0063091700596737705,0.0026146393995888787
Pxsvc,c2,-0.036922153285887556,0.01296214768062599
Pxsvc,c4,0.0029475320887238803,4.248508056027249e-4
Pxsvc,c5,0.05030058191710449,0.023765230440706074
Pxsvc,c6,0.03773707295390867,0.024569326610417146
Tpit,c1,0.001529037100370334,0.005274808459273146
Tpit,c2,-0.055333287623755584,0.021262069029384652
Tpit,c4,-0.1342327400819391,0.06648629404358207
Tpit,c5,-0.1496871528681305,0.06713821504158064
Tpit,c6,1.1508476873993752,0.2871304210425856
Tpit,c7,-0.3174972545323679,0.0596151296873075
Tpit,c8,-0.25054381761920846,0.04225507324990229
GovDebt,x,0.1270573252017077,0.12524784297224703
PcpiRent,c1,-0.013946716113457235,0.012859413861869699
PcpiRent,c2,-0.004429709036901937,0.005484319283654214
PcpiRent,c4,29.43037499924133,22.9665751021869
PcpiRent,c5,0.04019323950851561,0.012567258539220251
PcpiRent,c6,-0.05252713607625288,0.04751927445013626
PcpiRent,c7,0.15423319127957752,0.04660944776878994
PcpiRent,c8,0.6760345776659694,0.07901940732472819
Inonmin,c1,-0.419700820179509,0.22295987647301307
Inonmin,c2,-0.05062790363588678,0.026980436007162486
Inonmin,c5,0.8771984524744559,0.2498282183364335
Inonmin,c6,0.7612848676891886,0.26003762638758704
Inonmin,c7,0.46648327813163304,0.25084821356557663
Inonmin,c8,0.3385377741499205,0.2549923761427095
Inonmin,c9,-0.28861208611825945,0.09119188517978592
Inonmin,c10,-0.17602800838992302,0.034504437127559344
Inonmin,c11,-0.5068982017604502,0.4822080038809403
Ynli,c1,0.11740986733690245,0.02978597132798756
Ynli,rm,-0.4891520750108712,0.1389222511878993
Ynli,pe,-0.02772520051510642,0.21138920219739013
Ynli,pe1,0.19382724632754214,0.3399874816496849
Ynli,pe2,-0.4500426662680743,0.33964054770266305
