date,variable,actual,simulated
2010-03-01,Pcpi,95.2,95.18589542162141
2010-06-01,Pcpi,95.8,95.60839415308394
2010-09-01,Pcpi,96.4,96.11516437326975
2010-12-01,Pcpi,97,96.62426947039042
2011-03-01,Pcpi,98.4,97.19552273542955
2011-06-01,Pcpi,99.3,97.66143716100457
2011-09-01,Pcpi,99.7,98.30282250044932
2011-12-01,Pcpi,99.9,98.94123751369779
2012-03-01,Pcpi,99.9,99.45717512039381
2012-06-01,Pcpi,100.5,100.15838844653871
2012-09-01,Pcpi,101.6,100.7276376083892
2012-12-01,Pcpi,102,101.40007027835173
2013-03-01,Pcpi,102.4,101.91584593743212
2013-06-01,Pcpi,102.9,102.24227815682347
2013-09-01,Pcpi,103.9,102.9294535963601
2013-12-01,Pcpi,104.7,103.46532822576641
2014-03-01,Pcpi,105.4,103.99451924472444
2014-06-01,Pcpi,106.1,104.54536994011883
2014-09-01,Pcpi,106.3,105.24835323754178
2014-12-01,Pcpi,106.5,105.86630074565593
2015-03-01,Pcpi,106.8,106.52420964361477
2015-06-01,Pcpi,107.7,107.25303379953344
2015-09-01,Pcpi,107.8,107.92318451724407
2015-12-01,Pcpi,108.3,108.62794851193729
2016-03-01,Pcpi,108.2,109.33500094957368
2016-06-01,Pcpi,108.8,110.13717290679435
2016-09-01,Pcpi,109.3,110.87636413266276
2016-12-01,Pcpi,109.8,111.69864375081936
2017-03-01,Pcpi,110.5,112.50023691774173
2017-06-01,Pcpi,110.9,113.34829339864196
2017-09-01,Pcpi,111.3,114.03418837946734
2017-12-01,Pcpi,112.1,114.86499045025614
2018-03-01,Pcpi,112.7,115.63188730052426
2018-06-01,Pcpi,113.2,116.35114093226228
2018-09-01,Pcpi,113.5,117.21247513042323
2018-12-01,Pcpi,114,117.98599348437148
2019-03-01,Pcpi,114.1,118.80269139358545
2019-06-01,Pcpi,114.9,119.66445149410747
2019-09-01,Pcpi,115.4,120.54380982582852
2019-12-01,Pcpi,116.1,121.39890329129057
2020-03-01,Pcpi,116.7,122.25207938221818
2020-06-01,Pcpi,114.5,120.4748785492141
2020-09-01,Pcpi,116.2,122.19544060462609
2020-12-01,Pcpi,117.2,122.63362653555153
2021-03-01,Pcpi,117.8,123.75672047361604
2021-06-01,Pcpi,118.8,124.75922001885797
2021-09-01,Pcpi,119.7,125.96115120330806
2021-12-01,Pcpi,121.4,127.11539864613542
2022-03-01,Pcpi,123.9,128.56043575272503
2022-06-01,Pcpi,126.1,129.9972231909926
2022-09-01,Pcpi,128.4,131.46692868127673
2022-12-01,Pcpi,131,132.95642821163577
2023-03-01,Pcpi,132.7,134.44330751994818
2023-06-01,Pcpi,133.8,135.95088156642385
2023-09-01,Pcpi,135.2,137.45246370840047
2023-12-01,Pcpi,136.3,138.85312446649684
2024-03-01,Pcpi,137.5,140.30582299509254
2024-06-01,Pcpi,138.9,141.7118085407329
2024-09-01,Pcpi,139.1,143.2384605771114
2024-12-01,Pcpi,139.6,144.5727952441557
2010-03-01,Ppcd,0.72978082991234,0.7294319348151664
2010-06-01,Ppcd,0.7333280797494041,0.7322218634585929
2010-09-01,Ppcd,0.7336844363820781,0.7355504812609779
2010-12-01,Ppcd,0.7346363218993901,0.738836547401223
2011-03-01,Ppcd,0.7426974824724238,0.7425263365806705
2011-06-01,Ppcd,0.7479351122354124,0.7454127961803684
2011-09-01,Ppcd,0.75159990160274,0.7495407507139875
2011-12-01,Ppcd,0.7536334005313036,0.7536258119744648
2012-03-01,Ppcd,0.7568357344422991,0.7568065567443629
2012-06-01,Ppcd,0.7637422360248447,0.7613128934929059
2012-09-01,Ppcd,0.7700357550960227,0.7648576869225283
2012-12-01,Ppcd,0.7736596453673769,0.7691397190597553
2013-03-01,Ppcd,0.7769126162484646,0.7722879473077644
2013-06-01,Ppcd,0.7801159356885049,0.7740649398966875
2013-09-01,Ppcd,0.7859267531923045,0.7784315807625185
2013-12-01,Ppcd,0.7900773933098503,0.7817123946308158
2014-03-01,Ppcd,0.7939177370183418,0.7849443422661744
2014-06-01,Ppcd,0.7964501752166218,0.7883316593354984
2014-09-01,Ppcd,0.7967340815528784,0.7928116023033706
2014-12-01,Ppcd,0.7993371318176727,0.796687498856165
2015-03-01,Ppcd,0.8020326691421299,0.800852253274842
2015-06-01,Ppcd,0.8060229525010741,0.8055279933751698
2015-09-01,Ppcd,0.8079300115365599,0.809789603642846
2015-12-01,Ppcd,0.810157979610244,0.8143012288189659
2016-03-01,Ppcd,0.8082982659429571,0.8188325512132584
2016-06-01,Ppcd,0.8104579570972897,0.8240446075116804
2016-09-01,Ppcd,0.8127720605729566,0.8288130993489081
2016-12-01,Ppcd,0.8147927517180558,0.8341747493611209
