equation,term,estimate,std_error
Lpar,c1,4.600524784062344e-4,1.4377621886647052e-4
Lpar,c2,-0.36565298379174604,0.05735052289755609
Lpar,c3,-0.12830890937387662,0.027426266884242434
Lpar,c4,0.10320747531206541,0.05570178286136735
Lpar,c5,-0.036730009879176864,0.062073982192568766
Lpar,c6,-8.486456546170199e-5,4.113867586421204e-5
Lpar,c7,-0.024957483912285177,0.002141667921263574
Lpar,c8,0.009534547118393695,0.0025228834406367875
Lpar,c9,0.009440704858483176,0.0019334527082031626
Lwge,c1,0.0021304699586247797,7.036735480749272e-4
Lwge,c2,0.2128317269902874,0.1914549522437196
Lwge,c3,-0.00940688806172056,0.007487079954493773
Lwge,c4,0.7234933059962501,0.24503384854680252
Lwge,c5,-0.9775400245929946,0.26495532695525237
Pcpi,c1,0.020773874964278287,0.005137730999832826
Pcpi,c2,-0.1278647262374523,0.03115081633282251
Pcpi,c3,8.078674494410256e-4,5.581130620353778e-5
Pcpi,c4,1.0732456518241937,0.04789907074608655
Pcpi,c6,-0.026063839896425623,0.0041269048609390065
Pcpi,c7,0.026121990111321734,0.004080781447567475
Pcpi,c8,-0.017278967755155687,0.00405018452651213
Piret,c1,-1.5611583882916897,0.02972536565959377
Piret,c3,0.008396120337882913,2.1952839203123335e-4
Pxagr,c1,-0.012812862361108613,0.0060466763592021576
Pxagr,c2,-0.05991413057854423,0.018959142382893597
Pxagr,c3,0.30930098845952625,0.038597154070524116
Pxagr,c4,0.19181236257593962,0.039406489262588565
Pxagr,c5,-0.1738883989310651,0.029955624891110047
Pxagr,c6,-0.08178154591187001,0.01742848851562002
Pmgs,c1,-0.05445327836809171,0.023612380532009775
Pmgs,c2,-0.03775221655603444,0.026320445918898695
Pmgs,c3,0.7126461749151816,0.17355803231762867
Pmgs,c4,-0.004329070510967311,0.0013545680089370234
Pmgs,c5,0.5535598603521124,0.03753604836397983
Pmgs,c6,0.029660203462422104,0.00981951548811311
Rmort,c1,-0.09567817123375574,0.024635669209270662
Rmort,c2,0.01830604831751681,0.001658197535060937
Rmort,c3,5.472499656764089e-4,6.950307362345632e-5
Rmort,c4,0.641622924981628,0.03254972436147621
Rmort,c5,0.22226057238339883,0.0334947329933722
Peqi,c1,0.03837306926535871,0.01584331697430168
Peqi,c2,0.9557366434721429,0.7897213978596044
Peqi,c3,-5.035035267050142,1.847233562672918
Peqi,c4,3.4535676906854587,2.2757822632892
Peqi,c5,0.27815336451659023,0.0878130324796099
Peqi,c6,-0.16362294057351773,0.0858476806899393
Rtwi,c1,-0.5500972754001243,0.18813131922242332
Rtwi,c2,-0.1621345489249264,0.05170229104124283
Rtwi,c3,-0.582304727568747,0.11293078336990564
Rtwi,c4,-5.114201406165181,2.832200806437752
Rtwi,c5,0.05552906170434034,0.15687574865060355
Rtwi,c6,0.15507916994781337,0.12432440831295462
Rtwi,c7,-0.5532362916243508,0.9378012863314829
Rusd,c1,-0.00342869661877346,0.001837052027553025
Rusd,c2,1.012797664786528,0.04346139479184419
Rusd,c3,0.2827938248369091,0.16088021722926024
Ygdw,c1,-0.12281088292057285,0.03402339547291961
Ygdw,c2,-0.0603642976459172,0.014995671694426078
Ygdw,c3,0.001246596163925703,4.588637301564135e-4
Ygdw,c4,0.4963547925290857,0.17159777497315917
Lhrs,c1,0.32813193133267576,0.049861153731189316
Lhrs,c2,9.315564981701288,0.8205693009316981
Lhrs,c4,-0.0030119205509923914,1.487402394132256e-4
Lhrs,c5,1.2403727122254902,0.39182962023382994
Lhrs,c6,-0.8176823485266187,0.23848174819547338
Lhrs,c7,0.13525023325130522,0.22765973733016373
Lhrs,c8,-0.042958433665136804,0.012480650171952455
Lhrs,c9,0.055655487095669726,0.00976094927019827
Phouse,c1,0.15228499165147158,0.3250413264817045
Phouse,c2,-0.2955481338574916,0.07659063408608888
Phouse,c3,0.005147204096364535,3.761145610149564e-4
Phouse,c4,0.1392501349980637,0.8237014041050703
Phouse,c5,1.0579163167103474,0.44355287185201825
Phouse,c6,-1.3157041264087914,0.6255506504351267
Phouse,c7,0.2477858423972082,0.10674594007417151
Phouse,c8,0.37177313917174254,0.10991514868516852
Pimin,c1,-0.054374706590783535,0.11458788665636058
Pimin,c2,-0.024067349028406012,0.027988643084154052
Pimin,c3,0.5192151690670539,0.43634347926125133
Pimin,c4,0.08953629816487108,0.02105391569748978
Pimin,c6,0.05040825967888626,0.020312233585010133
Pimin,c7,0.05312348452194022,0.03484579195786495
Pimin,c9,0.05084396716880139,0.03358609416389221
Pimin,c10,0.03170109147549599,0.03244794072203034
Pimin,c11,0.013902651993620016,0.00278985031908462
Pimin,c12,0.004196501659492582,0.0026683336738791553
Pinonmin,c1,-0.01846178677591011,0.013782007512796941
Pinonmin,c2,-0.03647217377176293,0.010770855787960764
Pinonmin,c3,0.13167506165451542,0.08493157269380515
Pinonmin,c6,0.14345886668117308,0.01675386717868294
Pinonmin,c7,0.03800569787584855,0.025740265565790378
Pinonmin,c8,0.06698131556854549,0.017443692246819586
Pinonmin,c9,0.06706561188779558,0.017045985414791947
Pinonmin,c10,0.0024587420880131826,0.0024769781938839518
Pinonmin,c11,0.0034981859473243618,0.0024132603238632678
Pgc,c1,-0.4053506656652977,0.13443369509504358
